title,price,rating,reviews,availability
Sony Playstation PS4 1TB Black Console,,4.7 out of 5 stars,"1,004 ratings",Not Available
PlayStation 4 Slim 1TB Console,,4.7 out of 5 stars,"15,368 ratings",
PlayStation 4 500GB Console [Old Model][Discontinued],,4.6 out of 5 stars,"13,647 ratings",Only 4 left in stock - order soon
RPlay Play-Station 4 PS4 1TB Slim Edition Jet Black With 1 Wireless Controller,,4.8 out of 5 stars,7 ratings,Not Available
Sony PlayStation 4 Pro 1TB Console - Black (PS4 Pro),,4.5 out of 5 stars,"4,200 ratings",Only 8 left in stock - order soon
Sony PlayStation 4 Pro 1TB White (PS4),,4.4 out of 5 stars,936 ratings,Only 3 left in stock - order soon
"Flagship Newest Play Station 4 1TB HDD Only on Playstation PS4 Console Slim Bundle with Three Games: The Last of Us, God of War, Horizon Zero Dawn 1TB HDD Dualshock 4 Wireless Controller -Jet Black",,4.6 out of 5 stars,178 ratings,Not Available
"Playstation Sony 4, 500GB Slim System [CUH-2215AB01], Black, 3003347",,4.5 out of 5 stars,307 ratings,Not Available
PlayStation PS5 Console – God of War Ragnarök Bundle,,4.8 out of 5 stars,"5,812 ratings",In Stock
DualShock 4 Wireless Controller for PlayStation 4 - Jet Black,,4.7 out of 5 stars,"144,930 ratings",Not Available
"TXTHcpo Wireless Controller for PS4 Remote, P4 Gamepad for Playstation 4/Pro/Slim Console Gaming Control with Headset Jack Dual Vibration Speaker Touch Pad Six-axis Motion Control Skull",,5.0 out of 5 stars,3 ratings,Not Available
"Wireless Controller Compatible with PS-4/PS-4 Slim/PS-4 Pro,with Dual Vibration Game Joystick",,4.7 out of 5 stars,160 ratings,In Stock
DualShock 4 Wireless Controller for PlayStation 4 - Midnight Blue,,4.7 out of 5 stars,"144,930 ratings",Not Available
"2 Pack Wireless Controller for Playstation 4, Qyszy88 Wireless Controller for Sony PS4/Pro/Slim/, with Double Shock/Stereo Headset Jack/Touch Pad/Six-axis Motion Control，Great Gamepad Gift (Blue+Purple)",,4.3 out of 5 stars,546 ratings,Not Available
Sony Playstation 4 Dual Shock 4 Controller,,4.6 out of 5 stars,"2,161 ratings",Not Available
DualShock 4 Wireless Controller for PlayStation 4 - Magma Red,,4.7 out of 5 stars,"144,930 ratings",Not Available
"Wireless Controller for Remote Plays-station 4/Slim/Pro/PC, Wireless Upgraded Gamepad for PS4, Controller with Dual Vibration for PS4/ Pro/Slim, 3.5mm Headset Jack, 6-axis Gyro Sensor",,4.0 out of 5 stars,16 ratings,Not Available
Sonic Frontiers - PlayStation 4,,4.8 out of 5 stars,417 ratings,In Stock
Sonic Frontiers - PlayStation 4,,4.8 out of 5 stars,417 ratings,In Stock
"Yicege Precision Rings, Aim Assist Rings Motion Control for PlayStation 5 PS5, PlayStation 4 PS4, Xbox, Xbox one, Xbox series X, Pc Gamepads, Switch Pro, Sucf Controller 3 Different Strengths",,3.2 out of 5 stars,158 ratings,Not Available
"OFOTEIN Wireless Pro Controller for PS4 Controller, Game Controller Compatible with Playstation 4/Slim/Pro/PC,Built-in 800mAh Rechargeable Battery/Responsive Joystick and Buttons/Audio/Turbo(Pink)",,4.1 out of 5 stars,22 ratings,Not Available
